RowID,ProductID,ProductName,Category,Price_SAR,Unit,City,BuyerName,StoreType,QuantityOrdered,OrderDate,revenue
32,P1024,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Khobar,Khobar_Mall_46,Mall,65,5/27/2025,2470
33,P8897,V60 Dripper Set,Drip Tools,110,Set,Mecca,Mecca_Retail Shop_138,Retail Shop,17,10/5/2025,1870
34,P8832,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Riyadh,Riyadh_Retail Shop_272,Retail Shop,85,7/5/2025,6375
35,P7978,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Khobar,Khobar_Cafe_137,Cafe,95,6/26/2025,4275
36,P6519,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Qassim,Qassim_Mall_290,Mall,64,5/26/2025,2432
37,P5988,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Jeddah,Jeddah_Retail Shop_220,Retail Shop,94,11/30/2025,3572
38,P4300,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Abha,Abha_Mall_270,Mall,45,2/3/2026,1710
39,P7345,V60 Dripper Set,Drip Tools,110,Set,Abha,Abha_Mall_107,Mall,86,1/1/2026,9460
40,P5867,V60 Dripper Set,Drip Tools,110,Set,Medina,Medina_Retail Shop_124,Retail Shop,86,9/24/2025,9460
41,P3270,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Riyadh,Riyadh_Retail Shop_109,Retail Shop,7,5/2/2025,266
42,P5436,Gooseneck Kettle 1L,Drip Tools,180,Piece,Khobar,Khobar_Retail Shop_245,Retail Shop,65,12/19/2025,11700
43,P1025,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Riyadh,Riyadh_Cafe_286,Cafe,17,8/7/2025,1275
44,P5871,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Tabuk,Tabuk_Mall_216,Mall,21,1/18/2026,2520
45,P4131,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Jeddah,Jeddah_Cafe_118,Cafe,76,4/10/2025,2622
46,P6381,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Medina,Medina_Cafe_124,Cafe,89,10/3/2025,10680
47,P6814,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Jeddah,Jeddah_Mall_276,Mall,31,3/27/2025,2325
48,P3267,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Riyadh,Riyadh_Retail Shop_109,Retail Shop,55,11/11/2025,2090
49,P5809,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Hail,Hail_Retail Shop_207,Retail Shop,42,7/31/2025,1449
50,P9192,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Tabuk,Tabuk_Cafe_179,Cafe,57,6/14/2025,3705
51,P2737,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Riyadh,Riyadh_Cafe_127,Cafe,64,9/3/2025,4160
52,P7919,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Qassim,Qassim_Cafe_293,Cafe,63,3/31/2025,4095
53,P8600,Coffee Scale Digital,Accessories,150,Piece,Khobar,Khobar_Retail Shop_106,Retail Shop,84,3/1/2025,12600
54,P8036,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Mecca,Mecca_Mall_294,Mall,71,1/29/2026,3195
55,P4225,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Riyadh,Riyadh_Cafe_163,Cafe,66,9/8/2025,2508
56,P1211,Gooseneck Kettle 1L,Drip Tools,180,Piece,Abha,Abha_Retail Shop_162,Retail Shop,20,6/2/2025,3600
57,P7771,V60 Dripper Set,Drip Tools,110,Set,Tabuk,Tabuk_Mall_193,Mall,37,4/27/2025,4070
58,P5813,Espresso Tamper 58mm,Espresso Tools,95,Piece,Riyadh,Riyadh_Cafe_285,Cafe,54,8/28/2025,5130
59,P5510,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Abha,Abha_Retail Shop_274,Retail Shop,5,3/20/2025,190
60,P1601,V60 Dripper Set,Drip Tools,110,Set,Abha,Abha_Retail Shop_190,Retail Shop,34,8/25/2025,3740
61,P6308,Coffee Scale Digital,Accessories,150,Piece,Mecca,Mecca_Mall_38,Mall,37,6/12/2025,5550
62,P6985,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Riyadh,Riyadh_Retail Shop_59,Retail Shop,51,11/30/2025,6120
63,P4499,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Qassim,Qassim_Cafe_207,Cafe,69,4/6/2025,2622
64,P7225,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Jeddah,Jeddah_Cafe_182,Cafe,45,1/15/2026,2025
65,P5132,Coffee Scale Digital,Accessories,150,Piece,Dammam,Dammam_Cafe_72,Cafe,47,1/12/2026,7050
66,P1217,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Qassim,Qassim_Cafe_153,Cafe,32,12/10/2025,2080
67,P7772,Coffee Scale Digital,Accessories,150,Piece,Medina,Medina_Retail Shop_153,Retail Shop,45,5/9/2025,6750
68,P7248,Gooseneck Kettle 1L,Drip Tools,180,Piece,Riyadh,Riyadh_Cafe_277,Cafe,58,10/15/2025,10440
69,P9997,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Jeddah,Jeddah_Mall_9,Mall,11,3/9/2025,1320
70,P3797,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Hail,Hail_Cafe_225,Cafe,81,12/14/2025,3645
71,P2138,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Qassim,Qassim_Retail Shop_30,Retail Shop,68,2/14/2025,8160
72,P8158,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Riyadh,Riyadh_Cafe_41,Cafe,73,5/22/2025,2518.5
73,P4392,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Dammam,Dammam_Cafe_40,Cafe,20,4/21/2025,1300
74,P6990,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Khobar,Khobar_Retail Shop_229,Retail Shop,91,6/13/2025,3139.5
75,P2381,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Mecca,Mecca_Retail Shop_176,Retail Shop,8,4/17/2025,360
76,P3192,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Dammam,Dammam_Mall_155,Mall,99,7/3/2025,6435
77,P6780,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Medina,Medina_Retail Shop_123,Retail Shop,20,5/20/2025,1500
78,P1724,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Khobar,Khobar_Mall_30,Mall,15,4/28/2025,1125
79,P2305,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Hail,Hail_Retail Shop_162,Retail Shop,98,12/12/2025,3724
80,P6141,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Hail,Hail_Mall_288,Mall,12,7/5/2025,540
81,P9213,V60 Dripper Set,Drip Tools,110,Set,Abha,Abha_Mall_24,Mall,88,7/4/2025,9680
82,P7850,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Hail,Hail_Retail Shop_30,Retail Shop,55,6/9/2025,4125
83,P3284,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Medina,Medina_Retail Shop_114,Retail Shop,98,1/9/2026,3724
84,P7466,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Abha,Abha_Mall_87,Mall,76,7/13/2025,4940
85,P3334,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Medina,Medina_Retail Shop_71,Retail Shop,83,12/30/2025,9960
86,P8840,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Khobar,Khobar_Cafe_53,Cafe,49,3/30/2025,5880
87,P5905,V60 Dripper Set,Drip Tools,110,Set,Hail,Hail_Retail Shop_200,Retail Shop,11,10/23/2025,1210
88,P5346,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Medina,Medina_Mall_112,Mall,14,11/1/2025,532
89,P8784,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Tabuk,Tabuk_Retail Shop_109,Retail Shop,79,9/12/2025,5925
90,P7735,V60 Dripper Set,Drip Tools,110,Set,Jeddah,Jeddah_Cafe_129,Cafe,30,6/5/2025,3300
91,P7919,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Riyadh,Riyadh_Retail Shop_99,Retail Shop,28,6/1/2025,1820
92,P5648,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Medina,Medina_Retail Shop_122,Retail Shop,37,8/1/2025,1406
93,P7812,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Abha,Abha_Retail Shop_177,Retail Shop,89,9/5/2025,5785
94,P3386,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Khobar,Khobar_Cafe_290,Cafe,29,5/5/2025,1885
95,P1221,Espresso Tamper 58mm,Espresso Tools,95,Piece,Qassim,Qassim_Retail Shop_147,Retail Shop,40,11/2/2025,3800
96,P7554,V60 Dripper Set,Drip Tools,110,Set,Mecca,Mecca_Retail Shop_204,Retail Shop,18,11/13/2025,1980
97,P7822,V60 Dripper Set,Drip Tools,110,Set,Qassim,Qassim_Cafe_182,Cafe,10,11/11/2025,1100
98,P4396,Espresso Tamper 58mm,Espresso Tools,95,Piece,Medina,Medina_Cafe_282,Cafe,31,5/29/2025,2945
99,P6467,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Jeddah,Jeddah_Retail Shop_267,Retail Shop,13,12/11/2025,845
100,P5570,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Tabuk,Tabuk_Mall_66,Mall,5,1/16/2026,172.5
101,P5542,Coffee Scale Digital,Accessories,150,Piece,Qassim,Qassim_Cafe_147,Cafe,92,7/20/2025,13800
102,P1005,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Abha,Abha_Cafe_138,Cafe,74,10/14/2025,3330
103,P5763,Gooseneck Kettle 1L,Drip Tools,180,Piece,Riyadh,Riyadh_Retail Shop_11,Retail Shop,87,5/27/2025,15660
104,P5388,V60 Dripper Set,Drip Tools,110,Set,Jeddah,Jeddah_Cafe_56,Cafe,61,11/5/2025,6710
105,P5272,Gooseneck Kettle 1L,Drip Tools,180,Piece,Riyadh,Riyadh_Retail Shop_47,Retail Shop,10,4/7/2025,1800
106,P9577,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Riyadh,Riyadh_Cafe_241,Cafe,17,5/17/2025,646
107,P8003,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Abha,Abha_Mall_277,Mall,13,10/30/2025,448.5
108,P9428,Espresso Tamper 58mm,Espresso Tools,95,Piece,Dammam,Dammam_Mall_118,Mall,13,3/26/2025,1235
109,P3980,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Tabuk,Tabuk_Mall_132,Mall,63,7/10/2025,2173.5
110,P5990,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Jeddah,Jeddah_Cafe_98,Cafe,34,5/16/2025,2550
111,P9315,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Abha,Abha_Mall_49,Mall,97,1/6/2026,11640
112,P1097,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Qassim,Qassim_Cafe_233,Cafe,80,1/1/2026,2760
113,P8655,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Khobar,Khobar_Mall_81,Mall,59,4/2/2025,2035.5
114,P5020,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Mecca,Mecca_Retail Shop_271,Retail Shop,66,12/13/2025,7920
115,P1480,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Qassim,Qassim_Retail Shop_235,Retail Shop,54,10/24/2025,2052
116,P2727,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Dammam,Dammam_Cafe_22,Cafe,79,3/3/2025,3002
117,P9361,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Medina,Medina_Retail Shop_33,Retail Shop,33,12/12/2025,2145
118,P3256,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Medina,Medina_Retail Shop_123,Retail Shop,53,11/8/2025,6360
119,P2484,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Hail,Hail_Cafe_170,Cafe,32,2/23/2025,3840
120,P9223,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Tabuk,Tabuk_Retail Shop_159,Retail Shop,14,5/21/2025,483
121,P2412,V60 Dripper Set,Drip Tools,110,Set,Jeddah,Jeddah_Retail Shop_296,Retail Shop,71,11/15/2025,7810
122,P4702,Espresso Tamper 58mm,Espresso Tools,95,Piece,Medina,Medina_Retail Shop_187,Retail Shop,47,6/6/2025,4465
123,P4172,Gooseneck Kettle 1L,Drip Tools,180,Piece,Riyadh,Riyadh_Cafe_36,Cafe,23,4/23/2025,4140
124,P5850,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Medina,Medina_Retail Shop_186,Retail Shop,74,5/24/2025,4810
125,P4154,V60 Dripper Set,Drip Tools,110,Set,Riyadh,Riyadh_Retail Shop_137,Retail Shop,94,12/26/2025,10340
126,P8855,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Abha,Abha_Retail Shop_269,Retail Shop,85,9/14/2025,2932.5
127,P1127,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Hail,Hail_Mall_227,Mall,19,5/17/2025,1235
128,P2146,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Riyadh,Riyadh_Retail Shop_294,Retail Shop,95,8/10/2025,3277.5
129,P1390,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Abha,Abha_Mall_59,Mall,32,8/27/2025,1104
130,P1813,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Dammam,Dammam_Mall_217,Mall,29,1/24/2026,1102
131,P6955,Espresso Tamper 58mm,Espresso Tools,95,Piece,Qassim,Qassim_Retail Shop_175,Retail Shop,57,2/23/2025,5415
132,P6293,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Hail,Hail_Retail Shop_166,Retail Shop,17,2/12/2026,2040
133,P2498,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Jeddah,Jeddah_Cafe_125,Cafe,72,7/18/2025,2484
134,P6883,Espresso Tamper 58mm,Espresso Tools,95,Piece,Medina,Medina_Mall_96,Mall,71,12/14/2025,6745
135,P9083,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Mecca,Mecca_Mall_144,Mall,15,12/24/2025,570
136,P8664,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Khobar,Khobar_Retail Shop_289,Retail Shop,45,10/9/2025,3375
137,P4302,Gooseneck Kettle 1L,Drip Tools,180,Piece,Abha,Abha_Retail Shop_210,Retail Shop,16,10/30/2025,2880
138,P9111,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Jeddah,Jeddah_Cafe_250,Cafe,12,5/22/2025,456
139,P3013,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Qassim,Qassim_Mall_56,Mall,63,4/23/2025,2835
140,P9942,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Riyadh,Riyadh_Mall_115,Mall,22,4/30/2025,990
141,P8363,Gooseneck Kettle 1L,Drip Tools,180,Piece,Dammam,Dammam_Mall_25,Mall,74,10/19/2025,13320
142,P6614,Gooseneck Kettle 1L,Drip Tools,180,Piece,Tabuk,Tabuk_Cafe_291,Cafe,12,1/12/2026,2160
143,P6263,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Dammam,Dammam_Retail Shop_259,Retail Shop,41,1/2/2026,2665
144,P4250,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Khobar,Khobar_Mall_294,Mall,76,8/26/2025,2888
145,P6159,V60 Dripper Set,Drip Tools,110,Set,Qassim,Qassim_Mall_255,Mall,38,1/6/2026,4180
146,P6802,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Riyadh,Riyadh_Cafe_74,Cafe,30,10/21/2025,3600
147,P3832,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Mecca,Mecca_Retail Shop_160,Retail Shop,62,4/19/2025,2139
148,P6746,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Dammam,Dammam_Mall_170,Mall,34,1/6/2026,2210
149,P1949,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Medina,Medina_Retail Shop_272,Retail Shop,70,10/16/2025,4550
150,P8354,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Medina,Medina_Retail Shop_222,Retail Shop,6,11/27/2025,228
151,P7116,Gooseneck Kettle 1L,Drip Tools,180,Piece,Dammam,Dammam_Cafe_266,Cafe,35,8/27/2025,6300
152,P9826,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Dammam,Dammam_Mall_14,Mall,32,12/25/2025,2080
153,P7389,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Tabuk,Tabuk_Cafe_89,Cafe,51,8/20/2025,3315
154,P5361,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Riyadh,Riyadh_Retail Shop_249,Retail Shop,35,7/5/2025,2275
155,P1371,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Qassim,Qassim_Cafe_275,Cafe,27,11/6/2025,1755
156,P8081,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Dammam,Dammam_Mall_72,Mall,8,8/2/2025,304
157,P7176,V60 Dripper Set,Drip Tools,110,Set,Jeddah,Jeddah_Mall_145,Mall,21,6/8/2025,2310
158,P7320,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Hail,Hail_Retail Shop_111,Retail Shop,79,2/23/2025,3002
159,P6835,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Jeddah,Jeddah_Mall_256,Mall,71,4/30/2025,8520
160,P3125,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Abha,Abha_Cafe_74,Cafe,33,2/7/2026,3960
161,P8931,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Khobar,Khobar_Mall_15,Mall,54,11/4/2025,3510
162,P4377,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Abha,Abha_Mall_294,Mall,54,7/7/2025,1863
163,P3937,Gooseneck Kettle 1L,Drip Tools,180,Piece,Jeddah,Jeddah_Cafe_5,Cafe,97,5/21/2025,17460
164,P3231,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Abha,Abha_Mall_279,Mall,97,1/13/2026,7275
165,P2008,Gooseneck Kettle 1L,Drip Tools,180,Piece,Tabuk,Tabuk_Retail Shop_20,Retail Shop,60,7/14/2025,10800
166,P9399,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Tabuk,Tabuk_Mall_201,Mall,62,9/27/2025,2139
167,P2864,Espresso Tamper 58mm,Espresso Tools,95,Piece,Riyadh,Riyadh_Mall_280,Mall,23,1/20/2026,2185
168,P1911,V60 Dripper Set,Drip Tools,110,Set,Jeddah,Jeddah_Mall_25,Mall,81,4/18/2025,8910
169,P3985,V60 Dripper Set,Drip Tools,110,Set,Khobar,Khobar_Cafe_35,Cafe,51,1/2/2026,5610
170,P4789,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Tabuk,Tabuk_Cafe_62,Cafe,56,9/29/2025,6720
171,P9499,Gooseneck Kettle 1L,Drip Tools,180,Piece,Abha,Abha_Retail Shop_36,Retail Shop,84,11/4/2025,15120
172,P7399,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Dammam,Dammam_Retail Shop_22,Retail Shop,11,5/2/2025,1320
173,P1468,V60 Dripper Set,Drip Tools,110,Set,Abha,Abha_Retail Shop_16,Retail Shop,19,6/23/2025,2090
174,P5963,Espresso Tamper 58mm,Espresso Tools,95,Piece,Tabuk,Tabuk_Cafe_186,Cafe,33,3/5/2025,3135
175,P5865,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Jeddah,Jeddah_Mall_287,Mall,15,11/25/2025,517.5
176,P4289,Gooseneck Kettle 1L,Drip Tools,180,Piece,Abha,Abha_Cafe_134,Cafe,62,7/9/2025,11160
177,P3869,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Tabuk,Tabuk_Mall_225,Mall,67,9/7/2025,3015
178,P3230,Coffee Scale Digital,Accessories,150,Piece,Dammam,Dammam_Mall_272,Mall,68,11/5/2025,10200
179,P6081,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Dammam,Dammam_Retail Shop_1,Retail Shop,65,3/7/2025,4875
180,P1668,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Riyadh,Riyadh_Mall_43,Mall,88,1/16/2026,3344
181,P5355,Espresso Tamper 58mm,Espresso Tools,95,Piece,Tabuk,Tabuk_Retail Shop_97,Retail Shop,100,7/14/2025,9500
182,P5598,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Hail,Hail_Mall_293,Mall,67,12/27/2025,5025
183,P2039,Gooseneck Kettle 1L,Drip Tools,180,Piece,Jeddah,Jeddah_Mall_215,Mall,35,1/17/2026,6300
184,P5019,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Jeddah,Jeddah_Mall_3,Mall,40,12/3/2025,1380
185,P8517,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Qassim,Qassim_Retail Shop_191,Retail Shop,86,10/28/2025,2967
186,P2562,Espresso Tamper 58mm,Espresso Tools,95,Piece,Khobar,Khobar_Cafe_144,Cafe,90,4/22/2025,8550
187,P4317,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Tabuk,Tabuk_Retail Shop_235,Retail Shop,91,1/6/2026,3139.5
188,P3577,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Riyadh,Riyadh_Retail Shop_16,Retail Shop,37,5/11/2025,2405
189,P9834,V60 Dripper Set,Drip Tools,110,Set,Dammam,Dammam_Retail Shop_227,Retail Shop,57,7/24/2025,6270
190,P5653,Espresso Tamper 58mm,Espresso Tools,95,Piece,Dammam,Dammam_Cafe_183,Cafe,11,11/21/2025,1045
191,P2136,Espresso Tamper 58mm,Espresso Tools,95,Piece,Mecca,Mecca_Mall_263,Mall,25,12/26/2025,2375
192,P6252,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Mecca,Mecca_Retail Shop_153,Retail Shop,7,4/17/2025,241.5
193,P6519,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Jeddah,Jeddah_Retail Shop_112,Retail Shop,81,8/31/2025,3078
194,P9186,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Hail,Hail_Cafe_95,Cafe,68,4/22/2025,2346
195,P3017,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Khobar,Khobar_Retail Shop_289,Retail Shop,30,4/20/2025,1950
196,P6340,Gooseneck Kettle 1L,Drip Tools,180,Piece,Khobar,Khobar_Cafe_170,Cafe,10,6/15/2025,1800
197,P1203,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Qassim,Qassim_Retail Shop_20,Retail Shop,21,4/6/2025,2520
